Be+ 0         4         1         75190.0(2S)
    1 2S2               (1)0( 0.0)        0.0 {1}2.000
    2 2S1 2P1           (3)1( 4.0)    21980.0 {1}2.000
    3 2S1 2P1           (1)1( 1.0)    42565.0 {1}2.000
    4 2S1 3S1           (3)0( 1.0)    52081.0 {1}1.000
    5 2S1 3S1           (1)0( 0.0)    54677.0 {1}1.000
    6 2P2               (1)2( 2.0)    56882.0 {X}
    7 2S1 3P1           (3)1( 4.0)    58908.0 {1}1.000
    8 2P2               (3)1( 4.0)    59696.0 {X}
    9 2S1 3P1           (1)1( 1.0)    60187.0 {1}1.000
   10 2S1 3D1           (3)2( 7.0)    62054.0 {1}1.000
   11 2S1 3D1           (1)2( 2.0)    64428.0 {1}1.000
   12 2S1 4S1           (3)0( 1.0)    64506.0 {1}1.000
   13 2S1 4S1           (1)0( 0.0)    65245.0 {1}1.000
   14 2S1 4P1           (3)1( 4.0)    66812.0 {1}1.000
   15 2S1 4P1           (1)1( 1.0)    67035.0 {1}1.000
   16 2S1 4D1           (3)2( 7.0)    67942.0 {1}1.000
   17 2S1 4F1           (3)3(10.0)    68241.0 {1}1.000
   18 2S1 4F1           (1)3( 3.0)    68242.0 {1}1.000
   19 2S1 4D1           (1)2( 2.0)    68781.0 {1}1.000
   20 2S1 5S1           (3)0( 1.0)    69010.2 {1}1.000
   21 2S1 5S1           (1)0( 0.0)    69322.2 {1}1.000
   22 2S1 5P1           (3)1( 4.0)    70065.4 {1}1.000
   23 2S1 5P1           (1)1( 1.0)    70120.5 {1}1.000
   24 2S1 5D1           (3)2( 7.0)    70603.8 {1}1.000
   25 2S1 5F1           (3)3(10.0)    70749.7 {1}1.000
   26 2S1 5F1           (1)3( 3.0)    70749.9 {1}1.000
   27 2S1 5D1           (1)2( 2.0)    71002.3 {1}1.000
   28 2S1 5G1           (3)4(13.0)    71874.2 {1}1.000
   29 2S1 5G1           (1)4( 4.0)    71874.2 {1}1.000
   -1
  1.0    3       1.00+03 2.00+03 5.00+03 1.00+04 2.00+04 5.00+04 1.00+05 2.00+05 5.00+05 1.00+06 2.00+06
   2   1 4.60-02 1.40+00 2.14+00 3.13+00 3.56+00 3.56+00 2.88+00 2.13+00 1.44+00 7.14-01 3.86-01 2.01-01
   3   1 5.51+08 6.79-02 1.53-01 3.95-01 8.65-01 1.85+00 4.43+00 7.80+00 1.26+01 2.14+01 2.94+01 3.81+01
   4   1 1.00-30 2.55-02 8.59-02 1.84-01 2.13-01 2.01-01 1.56-01 1.15-01 7.84-02 4.05-02 2.24-02 1.18-02
   5   1 1.00-30 1.59-02 4.49-02 9.44-02 1.34-01 1.81-01 2.54-01 3.36-01 4.67-01 6.18-01 6.89-01 7.31-01
   6   1 1.48+01 5.75-02 9.58-02 1.63-01 2.60-01 4.30-01 7.35-01 9.96-01 1.31+00 1.66+00 1.83+00 1.93+00
   7   1 1.27-01 3.64-02 7.64-02 1.21-01 1.35-01 1.32-01 1.11-01 8.96-02 6.67-02 3.74-02 2.15-02 1.16-02
   8   1 1.84-03 7.72-04 3.37-03 1.02-02 1.55-02 1.95-02 2.23-02 2.16-02 1.81-02 1.10-02 6.53-03 3.58-03
   9   1 8.86+06 1.59-02 4.00-02 8.19-02 1.26-01 2.00-01 3.52-01 4.90-01 6.24-01 7.19-01 7.72-01 8.27-01
  10   1 1.00-30 1.15-02 2.72-02 4.98-02 6.42-02 7.60-02 8.11-02 7.27-02 5.70-02 3.32-02 1.94-02 1.05-02
  11   1 1.00-30 8.24-03 1.83-02 3.12-02 4.16-02 5.67-02 9.36-02 1.37-01 1.76-01 2.17-01 2.37-01 2.49-01
  12   1 1.00-30 2.01-02 3.58-02 4.68-02 4.73-02 4.37-02 3.51-02 2.70-02 1.90-02 1.02-02 5.76-03 3.07-03
  13   1 1.00-30 1.04-02 1.88-02 3.04-02 4.03-02 5.18-02 6.81-02 8.54-02 1.14-01 1.49-01 1.67-01 1.77-01
  14   1 9.24-03 2.49-02 3.53-02 4.34-02 4.46-02 4.24-02 3.57-02 2.87-02 2.14-02 1.22-02 7.03-03 3.81-03
  15   1 1.96+05 8.95-03 1.58-02 2.67-02 3.92-02 5.90-02 9.33-02 1.17-01 1.35-01 1.54-01 1.63-01 1.69-01
  16   1 8.39-30 1.09-02 1.45-02 2.00-02 2.45-02 2.89-02 3.16-02 2.89-02 2.30-02 1.37-02 8.04-03 4.39-03
  17   1 1.00-30 2.18-03 3.31-03 5.00-03 6.11-03 6.78-03 6.32-03 5.06-03 3.57-03 1.90-03 1.07-03 5.70-04
  18   1 1.00-30 7.04-03 9.24-03 1.04-02 1.03-02 9.86-03 1.11-02 1.44-02 1.81-02 2.23-02 2.44-02 2.57-02
  19   1 1.83+02 3.68-03 6.68-03 1.21-02 1.72-02 2.30-02 3.57-02 5.39-02 7.46-02 9.81-02 1.10-01 1.17-01
  21   1 1.00-30 1.84-02 2.57-02 3.93-02 5.68-02 8.16-02 1.20-01 1.47-01 1.69-01 1.89-01 1.98-01 2.03-01
  22   1 8.37-04 1.37-13 2.10-13 3.77-13 6.28-13 1.08-12 2.18-12 3.58-12 5.60-12 9.29-12 1.29-11 1.75-11
  23   1 1.19+07 6.57-02 9.07-02 1.35-01 1.90-01 2.65-01 3.70-01 4.36-01 4.85-01 5.26-01 5.44-01 5.56-01
  24   1 1.65-26 3.16-30 4.82-30 8.66-30 1.43-29 2.39-29 4.42-29 6.51-29 8.91-29 1.20-28 1.39-28 1.52-28
  27   1 7.28+03 1.47-02 2.19-02 3.77-02 6.02-02 9.73-02 1.72-01 2.46-01 3.27-01 4.31-01 5.00-01 5.56-01
   3   2 2.79-06 4.12-01 1.13+00 2.29+00 3.04+00 3.39+00 3.03+00 2.35+00 1.62+00 8.10-01 4.38-01 2.28-01
   4   2 1.37+08 4.01-01 7.38-01 1.42+00 1.80+00 2.08+00 2.92+00 4.58+00 7.46+00 1.36+01 1.93+01 2.55+01
   5   2 1.38+01 7.63-02 1.74-01 3.25-01 4.10-01 4.29-01 3.55-01 2.63-01 1.76-01 8.78-02 4.77-02 2.49-02
   6   2 7.73+02 1.75+00 2.71+00 3.53+00 3.80+00 3.87+00 3.48+00 2.79+00 1.99+00 1.04+00 5.77-01 3.04-01
   7   2 2.08+02 4.54-01 1.06+00 1.97+00 2.55+00 3.12+00 4.03+00 4.98+00 6.27+00 7.56+00 8.12+00 8.43+00
   8   2 4.33+08 2.76-01 9.06-01 2.56+00 5.04+00 9.72+00 2.14+01 3.59+01 5.53+01 8.72+01 1.15+02 1.46+02
   9   2 2.97-06 1.05-01 2.57-01 4.42-01 5.07-01 5.18-01 4.62-01 3.74-01 2.70-01 1.43-01 7.99-02 4.23-02
  10   2 1.92+08 1.46-01 3.89-01 8.47-01 1.33+00 2.15+00 4.81+00 9.39+00 1.71+01 3.43+01 5.07+01 6.88+01
  11   2 1.00-30 1.07-01 2.18-01 3.64-01 4.52-01 5.17-01 5.12-01 4.31-01 3.18-01 1.72-01 9.69-02 5.15-02
  12   2 3.79+07 1.24-01 2.20-01 3.17-01 3.47-01 3.57-01 3.92-01 5.05-01 7.42-01 1.29+00 1.83+00 2.43+00
  13   2 1.73-02 7.25-02 9.91-02 1.26-01 1.34-01 1.30-01 1.06-01 7.97-02 5.43-02 2.78-02 1.53-02 8.04-03
