Be+ 1         4         2        146872.0(1S)       1103374.0(3S)
    1 2S1               (2)0( 0.5)        0.0 {1}1.000 {2}1.500
    2 2P1               (2)1( 2.5)    31933.0 {1}1.000
    3 3S1               (2)0( 0.5)    88232.0 {1}1.000
    4 3P1               (2)1( 2.5)    96497.0 {1}1.000
    5 3D1               (2)2( 4.5)    98055.0 {1}1.000
    6 4S1               (2)0( 0.5)   115464.0 {1}1.000
    7 4P1               (2)1( 2.5)   118761.0 {1}1.000
    8 4D1               (2)2( 4.5)   119421.0 {1}1.000
    9 4F1               (2)3( 6.5)   119447.0 {1}1.000
   10 5S1               (2)0( 0.5)   127335.1 {1}1.000
   11 5P1               (2)1( 2.5)   128971.0 {1}1.000
   12 5D1               (2)2( 4.5)   129310.0 {1}1.000
   13 5F1               (2)3( 6.5)   129323.8 {1}1.000
   14 5G1               (2)4( 8.5)   129325.0 {1}1.000
   -1
  2.0    3       2.00+03 5.00+03 1.00+04 2.00+04 5.00+04 1.00+05 2.00+05 5.00+05 1.00+06 2.00+06 5.00+06 1.00+07
   2   1 1.14+08 1.32+01 1.36+01 1.43+01 1.57+01 1.90+01 2.30+01 2.88+01 3.91+01 4.80+01 5.73+01 6.98+01 7.94+01
   3   1 1.00-30 1.56+00 1.45+00 1.29+00 1.11+00 9.49-01 9.18-01 9.59-01 1.08+00 1.19+00 1.26+00 1.31+00 1.33+00
   4   1 1.65+08 7.64-01 6.71-01 6.23-01 5.73-01 4.94-01 4.53-01 4.57-01 5.81-01 7.85-01 1.11+00 1.66+00 2.12+00
   5   1 1.13+04 7.09-01 7.72-01 8.34-01 8.90-01 9.87-01 1.14+00 1.40+00 1.90+00 2.29+00 2.55+00 2.73+00 2.80+00
   6   1 1.00-30 2.80-01 2.63-01 2.33-01 2.02-01 1.76-01 1.72-01 1.82-01 2.08-01 2.30-01 2.45-01 2.56-01 2.60-01
   7   1 9.48+07 2.23-01 2.17-01 2.06-01 1.89-01 1.66-01 1.55-01 1.55-01 1.90-01 2.49-01 3.47-01 5.14-01 6.54-01
   8   1 3.47+03 1.83-01 1.90-01 1.91-01 1.91-01 2.04-01 2.32-01 2.84-01 3.88-01 4.78-01 5.42-01 5.87-01 6.04-01
   9   1 1.00-30 1.63-01 1.78-01 1.73-01 1.58-01 1.40-01 1.35-01 1.38-01 1.46-01 1.48-01 1.49-01 1.49-01 1.50-01
  10   1 1.00-30 9.19-02 9.19-02 9.20-02 9.22-02 9.30-02 9.42-02 9.63-02 1.01-01 1.04-01 1.07-01 1.11-01 1.12-01
  11   1 5.54+07 5.26-02 5.27-02 5.29-02 5.34-02 5.51-02 5.86-02 6.63-02 8.81-02 1.16-01 1.55-01 2.21-01 2.78-01
  12   1 1.50+03 2.50-01 2.50-01 2.51-01 2.51-01 2.52-01 2.55-01 2.59-01 2.68-01 2.75-01 2.82-01 2.89-01 2.92-01
   3   2 4.15+08 4.88+00 4.68+00 3.92+00 3.03+00 2.22+00 2.09+00 2.43+00 3.62+00 4.95+00 6.61+00 9.10+00 1.11+01
   4   2 1.90+03 7.40+00 6.37+00 5.85+00 5.38+00 4.82+00 4.62+00 4.74+00 5.35+00 5.97+00 6.37+00 6.64+00 6.73+00
   5   2 1.12+09 6.63+00 7.08+00 7.67+00 8.46+00 1.03+01 1.34+01 1.90+01 3.11+01 4.32+01 5.76+01 7.87+01 9.55+01
   6   2 1.44+08 1.01+00 8.78-01 7.30-01 5.85-01 4.42-01 3.91-01 3.95-01 4.85-01 6.04-01 7.67-01 1.02+00 1.23+00
   7   2 7.98+02 1.87+00 1.73+00 1.58+00 1.41+00 1.19+00 1.07+00 1.03+00 1.08+00 1.18+00 1.25+00 1.30+00 1.32+00
   8   2 3.80+08 1.47+00 1.51+00 1.55+00 1.60+00 1.86+00 2.33+00 3.19+00 5.02+00 6.81+00 8.91+00 1.20+01 1.45+01
   9   2 4.53+02 1.26+00 1.39+00 1.37+00 1.28+00 1.19+00 1.21+00 1.31+00 1.51+00 1.63+00 1.71+00 1.76+00 1.78+00
  10   2 7.00+07 1.00-01 1.01-01 1.01-01 1.02-01 1.06-01 1.14-01 1.29-01 1.65-01 2.05-01 2.56-01 3.33-01 3.97-01
  11   2 4.03+02 4.99-01 4.99-01 4.99-01 5.01-01 5.05-01 5.12-01 5.23-01 5.42-01 5.57-01 5.69-01 5.81-01 5.87-01
  12   2 1.87+08 1.96+00 1.96+00 1.97+00 1.98+00 2.04+00 2.15+00 2.36+00 2.84+00 3.37+00 4.01+00 5.00+00 5.81+00
   4   3 1.26+07 4.28+01 4.47+01 5.29+01 6.97+01 1.10+02 1.56+02 2.15+02 3.07+02 3.79+02 4.48+02 5.36+02 6.01+02
   5   3 2.34+00 2.35+01 2.45+01 2.47+01 2.42+01 2.29+01 2.24+01 2.27+01 2.39+01 2.47+01 2.51+01 2.54+01 2.55+01
   6   3 1.00-30 5.56+00 5.02+00 4.38+00 3.88+00 3.73+00 4.09+00 4.73+00 5.76+00 6.47+00 6.88+00 7.13+00 7.22+00
   7   3 1.36+07 2.66+00 2.39+00 2.20+00 1.99+00 1.81+00 1.81+00 2.03+00 2.72+00 3.54+00 4.56+00 6.09+00 7.31+00
   8   3 4.47+02 2.43+00 2.58+00 2.66+00 2.77+00 3.20+00 3.87+00 4.74+00 5.76+00 6.22+00 6.47+00 6.63+00 6.69+00
   9   3 1.00-30 3.28+00 3.69+00 3.84+00 3.95+00 4.43+00 5.13+00 5.98+00 6.86+00 7.20+00 7.38+00 7.50+00 7.54+00
  10   3 1.00-30 1.09+00 1.09+00 1.10+00 1.12+00 1.16+00 1.21+00 1.27+00 1.36+00 1.41+00 1.45+00 1.48+00 1.50+00
  11   3 1.06+07 5.24-01 5.25-01 5.27-01 5.32-01 5.55-01 6.01-01 6.95-01 9.18-01 1.16+00 1.47+00 1.93+00 2.32+00
  12   3 2.51+02 1.19+00 1.19+00 1.20+00 1.22+00 1.29+00 1.37+00 1.47+00 1.61+00 1.70+00 1.77+00 1.82+00 1.85+00
   5   4 7.89+04 2.67+02 3.03+02 3.48+02 4.11+02 5.22+02 6.26+02 7.46+02 9.15+02 1.04+03 1.16+03 1.30+03 1.41+03
   6   4 9.84+07 8.81+00 7.84+00 6.52+00 5.76+00 6.75+00 9.89+00 1.58+01 2.79+01 3.90+01 5.10+01 6.75+01 8.03+01
   7   4 1.87+02 1.27+01 1.15+01 1.11+01 1.13+01 1.33+01 1.64+01 2.03+01 2.57+01 2.94+01 3.15+01 3.28+01 3.32+01
   8   4 1.09+08 1.42+01 1.47+01 1.49+01 1.53+01 1.94+01 2.84+01 4.56+01 8.10+01 1.14+02 1.50+02 2.02+02 2.41+02
   9   4 5.00+02 1.21+01 1.39+01 1.49+01 1.64+01 2.15+01 2.92+01 3.97+01 5.37+01 6.15+01 6.58+01 6.85+01 6.95+01
  10   4 4.24+07 1.22+00 1.23+00 1.27+00 1.34+00 1.58+00 1.95+00 2.53+00 3.61+00 4.61+00 5.72+00 7.31+00 8.57+00
  11   4 1.03+02 5.26+00 5.28+00 5.31+00 5.40+00 5.62+00 5.87+00 6.17+00 6.55+00 6.78+00 6.94+00 7.08+00 7.15+00
  12   4 5.72+07 6.47+00 6.55+00 6.72+00 7.10+00 8.38+00 1.03+01 1.34+01 1.93+01 2.48+01 3.10+01 3.98+01 4.69+01
   6   5 7.98+01 1.59+01 1.31+01 9.77+00 6.87+00 4.57+00 3.89+00 3.81+00 4.01+00 4.12+00 4.18+00 4.22+00 4.23+00
   7   5 8.83+06 2.39+01 1.93+01 1.64+01 1.36+01 1.08+01 9.57+00 9.26+00 1.02+01 1.17+01 1.37+01 1.68+01 1.92+01
   8   5 7.76+01 2.40+01 2.40+01 2.33+01 2.27+01 2.44+01 2.83+01 3.35+01 4.06+01 4.50+01 4.75+01 4.90+01 4.95+01
   9   5 2.22+08 4.27+01 5.02+01 5.58+01 6.46+01 9.33+01 1.41+02 2.22+02 3.75+02 5.08+02 6.47+02 8.34+02 9.78+02
  10   5 4.00+01 4.58-01 4.60-01 4.62-01 4.68-01 4.82-01 4.98-01 5.15-01 5.36-01 5.48-01 5.56-01 5.62-01 5.65-01
  11   5 3.75+06 9.49-01 9.51-01 9.54-01 9.64-01 1.00+00 1.06+00 1.18+00 1.41+00 1.65+00 1.92+00 2.33+00 2.66+00
  12   5 3.73+01 7.63+00 7.65+00 7.69+00 7.78+00 8.01+00 8.27+00 8.56+00 8.93+00 9.14+00 9.29+00 9.43+00 9.49+00
  14   5 7.56+02 1.24+01 1.25+01 1.26+01 1.30+01 1.39+01 1.51+01 1.65+01 1.84+01 1.95+01 2.04+01 2.12+01 2.16+01
   7   6 2.74+06 5.27+01 7.44+01 1.18+02 1.99+02 3.86+02 5.92+02 8.46+02 1.21+03 1.48+03 1.73+03 2.05+03 2.28+03
   8   6 3.45-01 6.56+01 7.24+01 7.70+01 8.14+01 8.77+01 9.35+01 9.94+01 1.05+02 1.07+02 1.08+02 1.09+02 1.09+02
   9   6 1.00-30 2.97+01 2.81+01 2.53+01 2.17+01 1.79+01 1.66+01 1.64+01 1.67+01 1.69+01 1.70+01 1.71+01 1.71+01
  10   6 1.00-30 1.47+01 1.50+01 1.55+01 1.65+01 1.83+01 2.00+01 2.15+01 2.31+01 2.40+01 2.46+01 2.51+01 2.55+01
  11   6 2.53+06 7.59+00 7.59+00 7.59+00 7.62+00 7.80+00 8.24+00 9.07+00 1.09+01 1.27+01 1.49+01 1.80+01 2.05+01
  12   6 4.80+01 5.18+00 5.32+00 5.58+00 6.09+00 7.25+00 8.38+00 9.53+00 1.08+01 1.15+01 1.20+01 1.26+01 1.29+01
   8   7 2.55+04 6.81+02 8.99+02 1.17+03 1.55+03 2.18+03 2.75+03 3.35+03 4.14+03 4.69+03 5.20+03 5.84+03 6.31+03
   9   7 7.94-05 1.37+02 1.48+02 1.48+02 1.40+02 1.29+02 1.25+02 1.23+02 1.21+02 1.19+02 1.18+02 1.17+02 1.17+02
